iter	Passed	Remaining
0	5	5527
1	10	5304
2	14	4967
3	19	4809
4	23	4751
5	30	4979
6	34	4879
7	38	4817
8	45	4977
9	49	4909
10	53	4835
11	58	4855
12	67	5095
13	71	5019
14	76	5054
15	81	5001
16	85	4959
17	90	4916
18	95	4920
19	99	4873
20	103	4846
21	110	4900
22	114	4867
23	118	4835
24	123	4825
25	128	4802
26	132	4775
27	136	4747
28	142	4781
29	147	4755
30	151	4740
31	157	4768
32	161	4746
33	166	4724
34	171	4725
35	178	4782
36	183	4767
37	189	4786
38	193	4766
39	197	4744
40	202	4734
41	211	4824
42	215	4805
43	221	4812
44	225	4795
45	230	4778
46	235	4772
47	240	4767
48	245	4762
49	251	4774
50	255	4757
51	260	4744
52	264	4728
53	269	4725
54	274	4712
55	278	4700
56	283	4692
57	288	4685
58	292	4669
59	297	4654
60	303	4665
61	307	4654
62	312	4643
63	318	4652
64	322	4639
65	326	4624
66	331	4620
67	336	4608
68	342	4617
69	347	4613
70	352	4614
71	357	4605
72	361	4591
73	368	4612
74	374	4616
75	378	4604
76	384	4607
77	388	4593
78	392	4579
79	400	4611
80	406	4609
81	413	4626
82	417	4611
83	422	4602
84	426	4595
85	431	4588
86	437	4586
87	442	4583
88	447	4581
89	452	4578
90	458	4580
91	466	4601
92	474	4623
93	479	4624
94	484	4615
95	490	4614
96	496	4620
97	505	4650
98	511	4652
99	515	4641
100	519	4626
101	525	4630
102	531	4628
103	536	4618
104	541	4613
105	545	4603
106	549	4589
107	555	4587
108	559	4572
109	563	4560
110	567	4546
111	572	4536
112	576	4526
113	581	4515
114	585	4503
115	590	4499
116	594	4484
117	597	4469
118	602	4459
119	606	4446
120	610	4434
121	614	4421
122	620	4423
123	625	4416
124	629	4409
125	633	4397
126	639	4392
127	642	4380
128	647	4368
129	655	4388
130	662	4392
131	668	4395
132	673	4392
133	680	4395
134	686	4398
135	693	4404
136	698	4402
137	703	4395
138	707	4383
139	711	4371
140	718	4377
141	723	4369
142	727	4357
143	731	4347
144	735	4337
145	739	4326
146	743	4313
147	747	4305
148	754	4309
149	758	4297
150	762	4284
151	767	4279
152	770	4266
153	774	4257
154	779	4247
155	784	4243
156	788	4232
157	792	4223
158	797	4218
159	801	4208
160	807	4208
