data;rexc
2000-03-01;1.06663
2000-04-01;1.10471
2000-05-01;1.06961
2000-06-01;1.06269
2000-07-01;1.05306
2000-08-01;1.08634
2000-09-01;1.0859
2000-10-01;1.0543
2000-11-01;1.05665
2000-12-01;1.05837
2001-01-01;1.05878
2001-02-01;1.06346
2001-03-01;1.06129
2001-04-01;1.05613
2001-05-01;1.08817
2001-06-01;1.09989
2001-07-01;1.10834
2001-08-01;1.07075
2001-09-01;1.05957
2001-10-01;1.14393
2001-11-01;1.06262
2001-12-01;1.05565
2002-01-01;1.0812
2002-02-01;1.06258
2002-03-01;1.05546
2002-04-01;1.06277
2002-05-01;1.09644
2002-06-01;1.10187
2002-07-01;1.07581
2002-08-01;1.08609
2002-09-01;1.06922
2002-10-01;1.13598
2002-11-01;1.07363
2002-12-01;1.08157
2003-01-01;1.07174
2003-02-01;1.08803
2003-03-01;1.06513
2003-04-01;1.05767
2003-05-01;1.05338
2003-06-01;1.07196
2003-07-01;1.08446
2003-08-01;1.09206
2003-09-01;1.05306
2003-10-01;1.08041
2003-11-01;1.05312
2003-12-01;1.05307
2004-01-01;1.05578
2004-02-01;1.08989
2004-03-01;1.10739
2004-04-01;1.11059
2004-05-01;1.05896
2004-06-01;1.08487
2004-07-01;1.06521
2004-08-01;1.08274
2004-09-01;1.10648
2004-10-01;1.10999
2004-11-01;1.10883
2004-12-01;1.06085
2005-01-01;1.09155
2005-02-01;1.05907
2005-03-01;1.06312
2005-04-01;1.0568
2005-05-01;1.05746
2005-06-01;1.10095
2005-07-01;1.10848
2005-08-01;1.09876
2005-09-01;1.06878
2005-10-01;1.05335
2005-11-01;1.06626
2005-12-01;1.08219
2006-01-01;1.09032
2006-02-01;1.05944
2006-03-01;1.08736
2006-04-01;1.10036
2006-05-01;1.07896
2006-06-01;1.05326
2006-07-01;1.09284
2006-08-01;1.10995
2006-09-01;1.0997
2006-10-01;1.11112
2006-11-01;1.06874
2006-12-01;1.0743
2007-01-01;1.08014
2007-02-01;1.1076
2007-03-01;1.10372
2007-04-01;1.09539
2007-05-01;1.07467
2007-06-01;1.07484
2007-07-01;1.09506
2007-08-01;1.10845
2007-09-01;1.11227
2007-10-01;1.05457
2007-11-01;1.06531
2007-12-01;1.08107
2008-01-01;1.10781
2008-02-01;1.06092
2008-03-01;1.07429
2008-04-01;1.07971
2008-05-01;1.05343
2008-06-01;1.07152
2008-07-01;1.05587
2008-08-01;1.05355
2008-09-01;1.05588
2008-10-01;1.06089
2008-11-01;1.37465
2008-12-01;1.06077
2009-01-01;1.08739
2009-02-01;1.09194
2009-03-01;1.09254
2009-04-01;1.07231
2009-05-01;1.06344
2009-06-01;1.05316
2009-07-01;1.07429
2009-08-01;1.07745
2009-09-01;1.10103
2009-10-01;1.06136
2009-11-01;1.10146
2009-12-01;1.0612
2010-01-01;1.10103
2010-02-01;1.07778
2010-03-01;1.1067
2010-04-01;1.08357
2010-05-01;1.08082
2010-06-01;1.06055
2010-07-01;1.08094
2010-08-01;1.05428
2010-09-01;1.07601
2010-10-01;1.0763
2010-11-01;1.10618
2010-12-01;1.08239
2011-01-01;1.10544
2011-02-01;1.0847
